Trait PC_Count LogL Microbability SE AIC
RFI 74 -5273.83 0.2501 0.0426 10551.66
RFI 299 -5267.9 0.3056 0.0372 10539.8
RFI 600 -5278.96 0.3794 0.0416 10561.92
RFI 889 -4258.77 0.6126 0.08 8521.54
RFI 979 -5276.48 0.7094 0.0694 10556.96
AMidIntake 74 -6125.2 0.2783 0.0458 12254.4
AMidIntake 299 -6132.09 0.2979 0.038 12268.18
AMidIntake 600 -6133.32 0.3964 0.0421 12270.64
AMidIntake 889 -5085.06 0.6126 0.1 10174.12
AMidIntake 979 -6139.51 0.6722 0.0725 12283.02
RFI wholedata -5276.78 0.7003 0.0724 10557.56
AMidIntake wholedata -6138.75 0.6931 0.0735 12281.5
