Trait PC_Count LogL Microbability SE AIC
Methane 88 -1313.46 0.1436 0.033 2630.92
Methane 333 -1322.26 0.1591 0.0341 2648.52
Methane 640 -1324.75 0.2076 0.0431 2653.5
Methane 933 -1319.43 0.3672 0.0635 2642.86
Methane 1030 -1316.5 0.5045 0.0886 2637
MethaneRatio 88 4533.6 0.1226 0.0302 -9063.2
MethaneRatio 333 4527.61 0.1526 0.0335 -9051.22
MethaneRatio 640 4524.77 0.1998 0.0428 -9045.54
MethaneRatio 933 4525.52 0.3044 0.0636 -9047.04
MethaneRatio 1030 4532.59 0.4947 0.0911 -9061.18
LWT 88 -1984.31 0.0837 0.0274 3972.62
LWT 333 -1985.14 0.1145 0.0337 3974.28
LWT 640 -1988.59 0.117 0.0415 3981.18
LWT 933 -1985.81 0.2161 0.0674 3975.62
LWT 1030 -1985.39 0.3038 0.0967 3974.78
CO2 88 -5380.32 0.0094 575.4718 10764.64
CO2 333 -5560.06 0 0 11124.12
CO2 640 -5560.06 0 0 11124.12
CO2 933 -5560.06 0 0 11124.12
CO2 1030 -5560.06 0 0 11124.12
Methane wholedata -1317.46 0.4725 0.0907 2638.92
MethaneRatio wholedata 4532.63 0.4771 0.0933 -9061.26
CO2 wholedata -5560.06 0 0 11124.12
LWT wholedata -1984.23 0.2968 0.0939 3972.46
