"PC_Count","Trait","Microbiability","Standard_Error"
"102","ALWT",0.0831,0.0259
"102","AScCH4",0.1327,0.0307
"102","AScCH4Ratio",0.1104,0.0278
"102","AScCO2",NA,NA
"346","ALWT",0.1164,0.0327
"346","AScCH4",0.1619,0.0338
"346","AScCH4Ratio",0.1557,0.0334
"346","AScCO2",0,0
"648","ALWT",0.1331,0.0415
"648","AScCH4",0.2108,0.0429
"648","AScCH4Ratio",0.2064,0.043
"648","AScCO2",0,0
"936","ALWT",0.226,0.0663
"936","AScCH4",0.341,0.0637
"936","AScCH4Ratio",0.2881,0.0632
"936","AScCO2",0,0
"1030","ALWT",0.3247,0.0961
"1030","AScCH4",0.4853,0.0885
"1030","AScCH4Ratio",0.5017,0.0922
"1030","AScCO2",NA,NA
"GM","ALWT",0.3471,0.0993
"GM","AScCH4",0.496,0.0897
"GM","AScCH4Ratio",0.4976,0.0929
"GM","AScCO2",NA,NA
