"PC","ExplainedVariance","CumulativeVariance"
"PC1",3.27238882350709,3.27238882350709
"PC2",2.11537811505186,5.38776693855895
"PC3",1.3204250195777,6.70819195813666
"PC4",1.03676659021382,7.74495854835048
"PC5",0.809005076651179,8.55396362500166
"PC6",0.694206053543286,9.24816967854495
"PC7",0.577295096934813,9.82546477547976
"PC8",0.539454665091077,10.3649194405708
"PC9",0.462066173024168,10.826985613595
"PC10",0.413639628863816,11.2406252424588
"PC11",0.339576211501407,11.5802014539602
"PC12",0.327240365958619,11.9074418199188
"PC13",0.310472513488725,12.2179143334076
"PC14",0.287301628021239,12.5052159614288
"PC15",0.27519142848638,12.7804073899152
"PC16",0.272452074412523,13.0528594643277
"PC17",0.257301899825551,13.3101613641533
"PC18",0.252815578077836,13.5629769422311
"PC19",0.244251798275245,13.8072287405063
"PC20",0.242749914518058,14.0499786550244
"PC21",0.236157156457274,14.2861358114817
"PC22",0.233744165157461,14.5198799766391
"PC23",0.225934695169594,14.7458146718087
"PC24",0.222408022894825,14.9682226947036
"PC25",0.216344026609921,15.1845667213135
"PC26",0.214503349526914,15.3990700708404
"PC27",0.212881649893135,15.6119517207335
"PC28",0.210038908650993,15.8219906293845
"PC29",0.207747998164462,16.029738627549
"PC30",0.204022908057551,16.2337615356065
"PC31",0.201781635431367,16.4355431710379
"PC32",0.200340063565137,16.635883234603
"PC33",0.199742929365079,16.8356261639681
"PC34",0.196516352923355,17.0321425168915
"PC35",0.192154701738897,17.2242972186304
"PC36",0.191421693232128,17.4157189118625
"PC37",0.190446314688522,17.606165226551
"PC38",0.189138079534902,17.7953033060859
"PC39",0.186849341162198,17.9821526472481
"PC40",0.184648484160491,18.1668011314086
"PC41",0.18436931572761,18.3511704471362
"PC42",0.18115041713014,18.5323208642664
"PC43",0.180240406895406,18.7125612711618
"PC44",0.178133614344272,18.890694885506
"PC45",0.177274856671745,19.0679697421778
"PC46",0.174955906001928,19.2429256481797
"PC47",0.173759970143072,19.4166856183228
"PC48",0.173502272558954,19.5901878908817
"PC49",0.171942895853108,19.7621307867348
"PC50",0.170705627389556,19.9328364141244
"PC51",0.168828394777818,20.1016648089022
"PC52",0.167477061668925,20.2691418705711
"PC53",0.167199911326513,20.4363417818977
"PC54",0.164921896180167,20.6012636780778
"PC55",0.16415930179927,20.7654229798771
"PC56",0.162877843951003,20.9283008238281
"PC57",0.161888667922948,21.090189491751
"PC58",0.160658561500023,21.2508480532511
"PC59",0.159434844554689,21.4102828978058
"PC60",0.158955665153171,21.5692385629589
"PC61",0.15797057755604,21.727209140515
"PC62",0.157686495344785,21.8848956358598
"PC63",0.156587669408733,22.0414833052685
"PC64",0.155515989963345,22.1969992952318
"PC65",0.154162587143707,22.3511618823755
"PC66",0.152818579920165,22.5039804622957
"PC67",0.152203852343626,22.6561843146393
"PC68",0.151856154714571,22.8080404693539
"PC69",0.151536538751925,22.9595770081058
"PC70",0.150747300219636,23.1103243083255
"PC71",0.14972268637235,23.2600469946978
"PC72",0.148642264705635,23.4086892594034
"PC73",0.147819276895007,23.5565085362985
"PC74",0.147433108460754,23.7039416447592
"PC75",0.147359667971225,23.8513013127304
"PC76",0.146229101948454,23.9975304146789
"PC77",0.145204064247436,24.1427344789263
"PC78",0.144732223054609,24.2874667019809
"PC79",0.144524842705207,24.4319915446861
"PC80",0.143944857154293,24.5759364018404
"PC81",0.143498584525927,24.7194349863664
"PC82",0.142407540726744,24.8618425270931
"PC83",0.141643507399659,25.0034860344928
"PC84",0.140722518548351,25.1442085530411
"PC85",0.140538041343824,25.2847465943849
"PC86",0.140336685157075,25.425083279542
"PC87",0.139865349706265,25.5649486292483
"PC88",0.139078428091235,25.7040270573395
"PC89",0.138420488680089,25.8424475460196
"PC90",0.138150678337545,25.9805982243571
"PC91",0.137858699519627,26.1184569238768
"PC92",0.13704641798617,26.2555033418629
"PC93",0.136593413161233,26.3920967550242
"PC94",0.136017255475253,26.5281140104994
"PC95",0.135547501293821,26.6636615117932
"PC96",0.135206803827546,26.7988683156208
"PC97",0.135003704634676,26.9338720202555
"PC98",0.134868564836743,27.0687405850922
"PC99",0.134374867043058,27.2031154521353
"PC100",0.133631046964334,27.3367464990996
"PC101",0.133015468382067,27.4697619674817
"PC102",0.132570659378584,27.6023326268603
"PC103",0.132214960142904,27.7345475870032
"PC104",0.132190241935768,27.8667378289389
"PC105",0.131801809047485,27.9985396379864
"PC106",0.130948101931996,28.1294877399184
"PC107",0.130364444611002,28.2598521845294
"PC108",0.130201053161755,28.3900532376912
"PC109",0.12998023704677,28.5200334747379
"PC110",0.129381868889915,28.6494153436279
"PC111",0.128657574171039,28.7780729177989
"PC112",0.128601923950107,28.906674841749
"PC113",0.128284623810926,29.0349594655599
"PC114",0.127953419007284,29.1629128845672
"PC115",0.127593363419193,29.2905062479864
"PC116",0.126875623090031,29.4173818710764
"PC117",0.126374638721928,29.5437565097984
"PC118",0.126279644175443,29.6700361539738
"PC119",0.125847699252529,29.7958838532263
"PC120",0.125621776342547,29.9215056295689
"PC121",0.125307992214483,30.0468136217834
"PC122",0.125111324629415,30.1719249464128
"PC123",0.124651474553766,30.2965764209665
"PC124",0.124550285579832,30.4211267065464
"PC125",0.124352565322722,30.5454792718691
"PC126",0.124031399812273,30.6695106716814
"PC127",0.123474638045408,30.7929853097268
"PC128",0.123020989805872,30.9160062995327
"PC129",0.122879465272605,31.0388857648053
"PC130",0.122612800671118,31.1614985654764
"PC131",0.12215724007473,31.2836558055511
"PC132",0.12179142167186,31.405447227223
"PC133",0.121399917010936,31.5268471442339
"PC134",0.121171948251285,31.6480190924852
"PC135",0.12107125693952,31.7690903494247
"PC136",0.120734762247944,31.8898251116726
"PC137",0.120502073747216,32.0103271854199
"PC138",0.120189084067152,32.130516269487
"PC139",0.119868922224592,32.2503851917116
"PC140",0.119662448789519,32.3700476405011
"PC141",0.119125612792337,32.4891732532935
"PC142",0.119054463775249,32.6082277170687
"PC143",0.118835754184941,32.7270634712537
"PC144",0.118329448929905,32.8453929201836
"PC145",0.118179174529067,32.9635720947126
"PC146",0.11791618894739,33.08148828366
"PC147",0.117487675704463,33.1989759593645
"PC148",0.11740011131806,33.3163760706825
"PC149",0.117047605810327,33.4334236764929
"PC150",0.116972946668131,33.550396623161
"PC151",0.1168260316722,33.6672226548332
"PC152",0.116687785041623,33.7839104398748
"PC153",0.116245186959797,33.9001556268346
"PC154",0.116103899943867,34.0162595267785
"PC155",0.11561714853395,34.1318766753124
"PC156",0.115495802309858,34.2473724776223
"PC157",0.115337229206447,34.3627097068287
"PC158",0.115156874835611,34.4778665816644
