pc,Cor,Bias,Trait
G,0.16,1.04,Methane
PC88,0.27,1.52,Methane
PC333,0.23,1.12,Methane
PC640,0.11,0.34,Methane
G,0.23,0.94,LWT
PC88,0.16,1.25,LWT
PC333,0.22,1.23,LWT
PC640,0.18,0.54,LWT
G,0.21,1.2,MethaneRatio
PC88,0.25,1.44,MethaneRatio
PC333,0.21,1.02,MethaneRatio
PC640,0.12,0.27,MethaneRatio
G,0.25,0.88,RFI
PC74,0.34,1.43,RFI
PC299,0.34,1.44,RFI
PC600,0.33,1.38,RFI
G,0.12,0.72,CO2
PC88,-0.03,-0.5,CO2
PC333,-0.02,-0.22,CO2
PC640,0,0.01,CO2
G,0.27,1.04,AMidIntake
PC74,0.26,1.65,AMidIntake
PC299,0.3,2.17,AMidIntake
PC600,0.28,1.98,AMidIntake
GM,0.14,0.9,CO2
GM,0.24,1.05,LWT
GM,0.15,1.33,Methane
GM,0.2,1.46,MethaneRatio
GM,0.27,1.17,AMidIntake
GM,0.25,1.18,RFI
