"","Group","Trait","pc","Cor","SE_Correlation","Bias","SE_Bias","N"
"1","Methane","LWT","PC333",0.240983120319908,0.0285629954677158,1.04879750508041,0.134117245010674,210.2
"2","Methane","LWT","PC640",0.241302792984193,0.0285311197491392,1.04180296643475,0.133220368392427,210.2
"3","Methane","LWT","PC88",0.240476300952601,0.0285314407626577,1.02344352106815,0.132217692698941,210.2
"4","Methane","LWT","PC933",0.241405549686307,0.0284489019739222,1.04810049330734,0.132846612855381,210.2
"5","Methane","Methane","PC333",0.149253748483761,0.033246552744341,1.31599960389903,0.347368493159307,210.2
"6","Methane","Methane","PC640",0.14660299051945,0.0323763867109015,1.33895626283052,0.367722976678359,210.2
"7","Methane","Methane","PC88",0.14024806424092,0.0301928791157392,1.18423120755107,0.286037175911403,210.2
"8","Methane","Methane","PC933",0.144050331836174,0.0313519216299964,1.41312000174852,0.375073794206228,210.2
"9","Methane","MethaneRatio","PC333",0.200636650857627,0.0228526016411642,1.39663984171827,0.212454239439536,210.2
"10","Methane","MethaneRatio","PC640",0.199485099086471,0.0236988017480067,1.4342600600815,0.233202689025342,210.2
"11","Methane","MethaneRatio","PC88",0.194819394518052,0.0243871936273722,1.34960443735758,0.228837517714085,210.2
"12","Methane","MethaneRatio","PC933",0.198457450747254,0.0240173799715752,1.43196685767437,0.232679438915617,210.2
"13","Methane","CO2","PC333",0.135145527668963,0.0134293665980058,0.899277993657802,0.116333487170955,210.2
"14","Methane","CO2","PC640",0.135165387123136,0.0134279467418942,0.89943196754898,0.116339538513488,210.2
"15","Methane","CO2","PC88",0.135145526312424,0.013429367032707,0.899277984449282,0.116333489389422,210.2
"16","Methane","CO2","PC933",0.135298343527514,0.0134191887457451,0.900354054251334,0.116379983212452,210.2
"17","RFI","Mid intake","PC299",0.257678987151052,0.0193551298513035,0.970697625717021,0.0889602599522572,196.8
"18","RFI","Mid intake","PC600",0.257871597714459,0.0204422857831556,0.963102627074724,0.0927586632489607,196.8
"19","RFI","Mid intake","PC74",0.261295128213136,0.0196695481862021,0.978435930669807,0.0873942563654466,196.8
"20","RFI","Mid intake","PC889",0.261314444621738,0.0191477584720022,0.98905326883937,0.0796579068486114,196.8
"21","RFI","RFI","PC299",0.237793024132011,0.0187542339917971,0.93470054484153,0.144677213530174,196.8
"22","RFI","RFI","PC600",0.243497649573238,0.0187622074223612,0.957631971887318,0.160596746159561,196.8
"23","RFI","RFI","PC74",0.232817098256782,0.0176153339500167,0.863542628321711,0.0908798490119809,196.8
"24","RFI","RFI","PC889",0.245340761491629,0.0189578397496424,0.939833511411024,0.140906458094398,196.8
"25","Methane","CO2","GM",0.135145527422826,0.03,0.899277991990236,0.26,196.8
"26","Methane","LWT","GM",0.242739899202243,0.064,1.04903128250441,0.3,196.8
"27","Methane","Methane","GM",0.14901807157019,0.073,1.32698296255926,0.77,196.8
"28","Methane","MethaneRatio","GM",0.201905266807666,0.054,1.45925013303305,0.54,196.8
"29","rfi","AMidIntake","GM",0.27467122314254,0.06,1.16930368911816,0.31,196.8
"30","rfi","RFI","GM",0.248461246560307,0.04,1.18178627997393,0.16,196.8
